Time,Production,Avg_production,Revenue,Bad_Debt,Avg_r_bank_d,Avg_r_bank_u,Avg_r_trade_u,Avg_B_d,Avg_B_u,Count_Def_D,Count_Def_U,Count_Def_Z,Avg_Leverage_D,Avg_Leverage_U,Q_mismatch_d
1,599.9999999999999,1.2,597.6134821804994,51.119999999999955,0.06888388117691249,0.14252391916027932,0.19599809968622975,0.0,0.42879999999999996,71,0,0,0.0,0.42879999999999996,-5.684341886080802e-14
2,553.2626040253888,1.0576144751125454,564.9630113067187,44.19640847888721,0.07119900276255167,0.1115348586456422,0.1949036069929712,0.00013660779035138662,0.5970413389251287,81,0,0,0.006627172732581076,0.4963578309794613,0.0
3,537.1819054216567,0.8278733423902644,533.9570064104305,37.385171821793044,0.07326463207938062,0.10299810855450711,0.1939939983295107,0.00028332562095569584,0.6087296526043251,90,0,0,0.016276770967128547,0.44259836568522815,0.0
4,512.6686742805066,0.6492592327747626,512.7997951935266,35.6109071908046,0.07456882700742594,0.09816062061114388,0.19345903984206905,0.0004170494957254841,0.5958457282801486,95,0,0,0.020632070349581335,0.39292761818952265,5.684341886080802e-14
5,499.13686371959295,0.6211550679780522,481.88190734104273,29.54438649013679,0.07575575298707184,0.09554923538690836,0.1926382517622236,0.0004554980165297672,0.5644335336070767,93,0,0,0.032354009600910616,0.3629852243384249,-2.842170943040401e-14
6,476.2770992488987,0.6011797199746298,493.1473287466601,29.036132778556652,0.07359674825738623,0.09037487958325789,0.19209181235056882,0.00037870156942726414,0.5393653780525933,95,0,0,0.021261300299421557,0.31721422213018924,-2.842170943040401e-14
7,481.1212714833061,0.564950176566671,473.6556097924782,26.21512379969351,0.0758070121816199,0.08933027149190008,0.1913952641338658,0.0004762856616730613,0.5281634419511626,92,0,0,0.031198885090537302,0.2983633997525079,0.0
8,470.9274251701588,0.566370399958043,495.3174012449687,28.612591626014197,0.07657537422671598,0.08813286376270121,0.1907805505025116,0.0005448406195649694,0.5000869443251793,108,0,0,0.04024955169064677,0.2735304430877943,-2.842170943040401e-14
9,491.89903300945764,0.5798092278035663,527.7003737013098,22.81530619503996,0.07531447627089745,0.08870899943936644,0.19000165514368678,0.0005394497304962022,0.530646621074543,95,0,0,0.030378569112125532,0.2848884746843669,-5.684341886080802e-14
10,511.91900500068357,0.597611804256481,557.8157362485141,25.524609392251477,0.07529492079124799,0.086577032769505,0.18953002227123864,0.0005436244388007092,0.5844381931630653,85,0,0,0.0330587272090413,0.2922772749001738,-2.842170943040401e-14
11,530.7660197888501,0.6069213815882017,555.1840036348832,26.214384169518084,0.07412268013182015,0.08646244659243274,0.18907472033983075,0.0004641837030046293,0.6056599986962792,98,0,0,0.03302078233169337,0.3094479982598732,0.0
12,547.0446020962618,0.580190686632756,527.4380320213813,26.427225974737322,0.07330591005608912,0.08618088762357942,0.18845906961083725,0.0004470082071287929,0.6205338784507226,88,0,0,0.02980978617169944,0.29036984291884665,5.684341886080802e-14
13,525.4617436258852,0.5882245291983563,521.676579904751,28.805447293717606,0.07374646972933244,0.08243534218587442,0.18816466974133403,0.0005006088602110444,0.5814449114219258,102,0,0,0.03551745426347894,0.261093799023983,0.0
14,519.2402597127261,0.5707621079987539,525.5315333061291,30.807700213813668,0.07502629002882108,0.08145672010364183,0.18800432522502156,0.0005792804903064718,0.5983658476086714,105,0,0,0.03577902243578546,0.2691136505207854,5.684341886080802e-14
15,522.5143851166523,0.5507052277606899,476.4993585046977,30.386355571472333,0.0761966519554723,0.0836644207883669,0.18777555147608893,0.0006582676633783442,0.5889637794952989,110,0,0,0.04173359336748952,0.2655335590749211,0.0
16,496.0777643125888,0.5542050196762591,521.903547151254,26.66469299722318,0.07493565836294935,0.08260930437090463,0.18723027582425772,0.0005230782106496179,0.5271003203908623,100,0,0,0.048318498119366456,0.23403310096950977,0.0
17,515.69544964885,0.570590837144231,521.0968038386554,27.400540630402197,0.07308629710656867,0.0809040149474667,0.1868717263316284,0.0004587036007007533,0.5705708412628969,97,0,0,0.0401068979764323,0.2326594798863295,0.0
18,515.0339981939998,0.5795989785963416,510.3296837262451,32.76663659138564,0.07301793733986713,0.08304181173395554,0.18647745482988573,0.00045107765101372376,0.530528648302042,103,0,0,0.037535126643743824,0.2251175140498589,0.0
19,512.9489207892786,0.5757187156116212,558.2716608341738,24.308273201297165,0.07378996330561707,0.08136061098885035,0.18607762776839765,0.0005241303845706333,0.5593834403399893,93,0,0,0.03716653311895253,0.21882556463043978,0.0
20,539.3626230203806,0.609537102988439,548.5953092189873,28.280190141228022,0.07437197954140455,0.08048209666383702,0.1858167006509565,0.0005684602439744732,0.5897271405332171,95,0,0,0.039037879178101545,0.23635533317998864,0.0
21,555.3742222660442,0.6001633736278622,589.0698018388111,27.565785101913306,0.07307860658445375,0.08128146519424376,0.18534928113730478,0.0005045592293625383,0.6184561920725686,89,0,0,0.034042716115187756,0.239598932251403,0.0
22,573.2773090449291,0.6060699745311384,604.3495510326585,21.512045124017344,0.0715896977960553,0.08065229679932852,0.1850789098374852,0.00037536543889071593,0.6689095626930016,86,0,0,0.03332340141182139,0.24954963508233446,0.0
23,579.3199381770032,0.5952837378472655,648.7105919783708,30.525295475327685,0.0721449479010661,0.08064886641552482,0.18494109027661215,0.00048123360719807087,0.6787480699269025,91,0,0,0.028623408244203674,0.24933890269441947,0.0
